Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
5,1,2,3,2,2,1,1,3,6,1,6,11,2,17.0,3
3,1,2,3,1,2,1,1,4,2,1,4,9,3,44.0,2
5,1,2,2,1,1,1,2,1,2,4,9,5,1,10.0,2
2,1,2,3,2,2,1,1,1,1,1,2,4,3,48.0,1
2,1,1,2,1,1,1,2,1,2,4,9,2,3,35.0,2
2,1,2,3,1,2,1,1,1,2,1,2,10,3,45.0,1
1,1,1,3,1,2,1,2,4,2,1,7,5,2,20.0,4
2,1,1,3,2,2,2,2,3,6,2,8,6,2,28.0,4
3,1,2,4,1,2,1,1,2,2,1,2,8,3,32.0,2
2,1,1,5,2,2,1,1,1,1,1,5,2,3,43.0,3
2,1,2,6,2,2,1,2,1,2,1,7,4,2,30.0,4
2,1,1,5,2,2,2,2,1,2,1,7,4,4,58.0,2
2,1,2,3,2,2,1,2,1,9,1,1,10,3,44.0,1
2,1,2,4,2,2,1,2,1,1,2,9,8,2,24.0,4
3,1,1,3,1,2,1,1,1,2,1,3,8,3,41.0,2
2,1,1,6,2,2,1,2,1,2,2,8,10,4,50.0,3
3,1,2,7,4,2,1,1,1,2,1,9,4,2,25.0,4
6,1,2,2,1,2,1,1,3,6,1,6,10,2,18.0,3
2,1,1,6,2,2,1,4,1,2,1,5,2,3,48.0,3
2,1,2,5,2,2,1,2,1,1,1,3,4,3,42.0,2
1,1,1,4,3,2,1,2,1,1,2,8,6,4,51.0,4
3,1,2,4,1,2,1,1,1,2,1,4,11,2,23.0,2
1,1,1,4,1,2,1,2,1,1,1,9,3,4,60.0,4
3,1,2,3,1,2,2,1,1,1,1,2,5,3,45.0,1
2,1,2,4,2,2,1,1,1,2,1,4,10,2,30.0,2
5,1,1,3,1,2,1,2,1,2,1,9,2,3,35.0,4
2,1,1,6,2,2,1,1,1,2,2,3,7,3,44.0,2
3,1,2,4,1,2,1,2,1,1,2,8,10,2,17.0,4
2,1,1,3,1,2,1,2,1,2,1,5,8,3,43.0,3
3,1,1,3,1,2,1,1,1,1,1,9,4,3,43.0,4
2,1,1,5,2,2,1,3,1,2,2,2,8,4,51.0,1
2,1,1,5,2,2,1,1,1,2,2,2,8,3,43.0,1
1,1,2,5,4,2,1,2,1,2,1,4,9,3,46.0,2
2,1,2,2,1,2,1,1,1,2,1,6,10,2,23.0,3
3,1,1,3,1,2,2,1,1,2,1,1,5,4,60.0,1
5,1,2,3,1,2,2,2,4,2,1,9,11,2,20.0,4
6,1,1,3,1,2,2,1,1,1,1,2,3,3,42.0,1
2,1,1,6,2,2,1,1,1,2,2,5,1,4,49.0,3
2,1,2,2,1,2,1,1,1,1,1,3,11,2,23.0,2
2,1,2,2,1,1,1,1,1,2,4,9,5,1,14.0,2
2,1,1,4,2,2,1,2,1,1,1,1,2,3,44.0,1
3,1,2,3,1,2,2,1,1,1,1,2,10,4,58.0,1
5,1,2,3,1,2,1,2,1,2,1,6,6,3,35.0,4
6,1,1,3,1,2,1,2,1,2,1,5,2,3,42.0,3
3,1,2,4,1,2,1,2,1,2,1,6,10,2,30.0,3
1,1,2,2,1,1,1,1,1,1,4,9,5,1,8.0,2
2,1,1,3,2,2,1,2,3,6,1,9,6,3,45.0,3
2,1,1,3,2,2,1,1,1,2,1,8,3,2,20.0,4
2,1,1,2,1,2,1,1,1,2,1,2,10,4,60.0,1
2,1,1,6,2,2,1,2,1,2,1,2,9,3,31.0,1
5,1,2,4,1,2,1,2,1,1,1,4,5,1,11.0,2
5,1,1,3,1,2,1,1,1,2,1,4,4,3,48.0,2
